Elected,Office Address,Number,Street,City,State,Zip,Office Email/Phone,Staff Name,Staff Email/Phone,,Committee Chaired
NYC Council - Sandy Nurse,"1945 Broadway, 2nd Floor, Brooklyn, NY 11207",1945,Broadway,Brooklyn,NY,11207,District37@council.nyc.gov,Samoir Toure,stoure@council.nyc.gov,,
NYC Council - Alexa Avilés,"4417 4th Avenue, Ground Floor, Brooklyn, NY 11220",4417,4th Avenue,Brooklyn,NY,11220,district38@council.nyc.gov,Edward Cerna,ecerna@council.nyc.gov,,
NYC Council - Shahana Hanif,"456 5th Avenue, 3rd Floor, Brooklyn, NY 11215",456,5th Avenue,Brooklyn,NY,11215,district39@council.nyc.gov,Matthew Malloy,mmalloy@council.nyc.gov,,
NYC Council - Rita Joseph,"930 Flatbush Avenue, Brooklyn, NY 11226",930,Flatbush Avenue,Brooklyn,NY,11226,district40@council.nyc.gov,Juvanie Piquant,jpiquant@council.nyc.gov,,
NYC Council - Darlene Mealy,"400 Rockaway Avenue, Brooklyn, NY 11212",400,Rockaway Avenue,Brooklyn,NY,11212,district41@council.nyc.gov,,,,
NYC Council - Chris Banks,"953 Van Siclen Avenue, Brooklyn, NY 11207",953,Van Siclen Avenue,Brooklyn,NY,11207,district42@council.nyc.gov,Michael Lambert,mlambert@council.nyc.gov,,
NYC Council - Susan Zhuang,"6409 20th Avenue, 2nd Floor, Brooklyn, NY 11204",6409,20th Avenue,Brooklyn,NY,11204,district43@council.nyc.gov,,,,
NYC Council - Simcha Felder,"4424 16th Avenue, Brooklyn, NY 11204​",4424,16th Avenue,Brooklyn,NY,11204,district44@council.nyc.gov,,,,
NYC Council - Farah N. Louis,"1434 Flatbush Avenue, Brooklyn, NY 11210",1434,Flatbush Avenue,Brooklyn,NY,11210,district45@council.nyc.gov,Shona Duncan,shduncan@council.nyc.gov,,
NYC Council - Mercedes Narcisse,"5827 Flatlands Avenue, Brooklyn, NY 11234",5827,Flatlands Avenue,Brooklyn,NY,11234,district46@council.nyc.gov,Saye Joseph,sajoseph@council.nyc.gov,,
NYC Council - Justin Brannan,"8203 3rd Avenue, Brooklyn, NY 11209",8203,3rd Avenue,Brooklyn,NY,11209,district47@council.nyc.gov,,,,
NYC Council - Inna Vernikov,"1711 Gravesend Neck Road, Brooklyn, NY 11229",1711,Gravesent Neck Road,Brooklyn,NY,11229,IVernikov@council.nyc.gov,,,,
NYC Council - Kamillah Hanks,"130 Stuyvesant Place, Staten Island, NY 10301",130,Stuyvesant Place,Staten Island,NY,10301,district49@council.nyc.gov,Marci Bishop,khanks@council.nyc.gov,,
NYC Council - David Carr,"130 Stuyvesant Place, 6th Floor, Staten Island, NY 10301",130,Stuyvesant Place,Staten Island,NY,10301,DCarr@council.nyc.gov,,,,
NYC Council - 51st district,"2955 Veterans Road West, Suite 2E, Staten Island, NY 10309",2955,Veterans Road West,Staten Island,NY,10309,borelli@council.nyc.gov,,,,
NYC Council - Erik Bottcher,"224 West 30th Street, Suite 1206, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10001",224,West 30th Street,New York,NY,10001,District3@council.nyc.gov,Carl Wilson,cwilson@council.nyc.gov,,
NYC Council - Keith Powers,"211 East 43rd Street, Suite 1205, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10017",211,East 43rd Street,New York,NY,10017,district4@council.nyc.gov,Ben Jacobs,bjacobs@council.nyc.gov,,
NYC Council - Julie Menin,"520 Third Avenue, Suite 907, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10016",520,Third Avenue,New York,NY,10016,district5@council.nyc.gov,Jonathan Szott,jszott@council.nyc.gov,,
NYC Council - Gale A. Brewer,"563 Columbus Avenue, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10024",563,Columbus Avenue,New York,NY,10024,district6@council.nyc.gov,Shulamit Puder,spuder@council.nyc.gov,,
NYC Council - Diana Ayala,"214 East 116th Street, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10029",214,East 116th Street,New York,NY,10029,district8@council.nyc.gov,Elsie Encarnacion,eencarnacion@council.nyc.gov,,
NYC Council - Kevin C. Riley,"135 Einstein Loop, Room 44, Bronx, NY 10475",135,Einstein Loop,Bronx,NY,10475,district12@council.nyc.gov,Simone Jones,sijones@council.nyc.gov,,
NYC Council - Eric Dinowitz,"277 W. 231st Street, Bronx, NY 10463",277,W. 231st Street,Bronx,NY,10463,district11@council.nyc.gov,Jenn Klaus,jklaus@council.nyc.gov,,
NYC Council - Althea Stevens,"1377 Jerome Avenue, Bronx, NY 10452",1377,Jerome Avenue,Bronx,NY,10452,district16@council.nyc.gov,Lamont Carolina,lcarolina@council.nyc.gov,,
NYC Council - Francisco Moya,"106-01 Corona Avenue, Corona, NY 11368",106-01,Corona Avenue,Corona,NY,11368,district21@council.nyc.gov,Megha Tadio Benham,mtadio@council.nyc.gov,,
NYC Council - Kristy Marmorato,"2095 Bartow Avenue, Bronx, NY 10475",2095,Bartow Avenue,Bronx,NY,10475,District13@council.nyc.gov,April Cardena,acardena@council.nyc.gov,,
NYC Council - Jennifer Gutiérrez,"244 Union Avenue, Brooklyn, NY 11211​",244,Union Avenue,Brooklyn,NY,11211,district34@council.nyc.gov,Anna Bessendorf,,,
NYC Council - Oswald Feliz,"2065 Grand Concourse, Bronx, NY 10453",2065,Grand Concourse,Bronx,NY,10453,district15@council.nyc.gov,Theona Reets,,,
NYC Council - Sandra Ung,"136-21 Latimer Place, 1D, Flushing, NY 11354",136-21,Latimer Place,Flushing,NY,11354,district20@council.nyc.gov,Alexander Hart,ahart@council.nyc.gov,,
NYC Comptroller - Brad Lander,"1 Centre Street, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10007",1,Centre Street,Manhattan,Br,"10,007.00",,,,,
NYC Public Advocate - Jumaane Williams,"1 Centre Street, Manhattan, Brooklyn, The Bronx, Queens, Staten Island, 10007",1,Centre Street,Manhattan,Br,"10,007.00",gethelp@advocate.nyc.gov,,,,
Bronx Borough President - Vanessa Gibson,"851 Grand Concourse 3rd Floor, Bronx, NY, 10451",851,Grand Concourse 3rd Floor,Bronx,NY,"10,451.00",webmail@bronxbp.nyc.gov,Justin Cortes,jcortes@bronxbp.nyc.gov,,
Brooklyn Borough President - Antonia Reynoso,"109 Joralemon Street, Brooklyn, NY 11201",109,Joralemon Street,Brooklyn,NY,"11,201.00",AskReynoso@brooklynbp.nyc.gov,Isadbel Shepard,Isabel.Shepard@brooklynbp.nyc.gov,,
Manhattan Borough President - Mark Levine,"1 Centre Street 19th floor, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10007",1,Centre Street 19th floor,Manhattan,Br,"10,007.00",info@manhattanbp.nyc.gov,,press@manhattanbp.nyc.gov,,
Queens Borough President - Donovan Richards,"120-55 Queens Boulevard, Kew Gardens, NY 11424",120-55,Queens Boulevard,Kew Gardens,NY,"11,424.00",info@queensbp.org,,,,
Congressmember/Democratic Leader - Hakeem Jeffries,"55 Hanson Place Suite 603, Brooklyn, NY 11217",55,Hanson Place Suite 603,Brooklyn,NY,"11,217.00",(718) 237-2211,Tasia Jackson,,,
Congressmember - George Latimer,"177 Dreiser Loop Room 3, Bronx, NY 10475",177,Dreiser Loop Room 3,Bronx,NY,"10,475.00",(718) 530-7888,,,,
Congressmember - Yvette Clarke,"222 Lenox Rd Suites 1&2, Brooklyn, NY 11226",222,Lenox Rd Suites 1&2,Brooklyn,NY,"11,226.00",718-287-1142,,,,
Congressmember - Adriano Espaillat,"163 West 125th Street #508, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10027",163,West 125th Street #508,Manhattan,Br,"10,027.00",(212) 663-3900,,,,
Congressmember - Dan Goldman,"354 36 Street B-329, Brooklyn, NY 11232",354,36 Street B-329,Brooklyn,NY,"11,232.00",(718) 312-7575,,,,
Congressmember - Gregory Meeks,"153-01 Jamaica Avenue 2nd floor, Jamaica, NY 11432",153-01,Jamaica Avenue 2nd floor,Jamaica,NY,"11,432.00",(718) 725-6000,,,,
Congressmember - Grace Meng,"40-13 159th St STE A, Flushing, NY 11358",40-13,159th St STE A,Flushing,NY,"11,358.00",(718) 358-6364,,,,
Congressmember - Jerry Nadler,"201 Varick St Suite 669, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10014",201,Varick St Suite 669,Manhattan,Br,"10,014.00",212-367-7350,,,,
Congressmember - Alexandria Ocasio-Cortez,"1231 Lafayette Ave. Suite L-610, Bronx, NY 10474",1231,Lafayette Ave. Suite L-610,Bronx,NY,"10,474.00",718-662-5970,,,,
Congressmember- Ritchie Torres,"540 E Fordham Rd. Suite 2A, Bronx, NY 10458",540,E Fordham Rd. Suite 2A,Bronx,NY,"10,458.00",(718) 503-9610,,,,
Congressmember - Nydia Velazquez,"266 Broadway Suite 201, Brooklyn, NY 11211",266,Broadway Suite 201,Brooklyn,NY,"11,211.00",(718) 340-6244,,,,
NYS Assemblymember/Speaker - Carl Heastie,"1446 East Gun Hill Rd, Bronx, NY 10469",1446,East Gun Hill Rd,Bronx,NY,"10,469.00",Speaker@nyassembly.gov,Paul Upton,uptonp@nyassembly.gov,,Rules
NYS Assemblymember - George Alvarez,"2633 Webster Ave 1st Floor, Bronx, NY 10458",2633,Webster Ave 1st Floor,Bronx,NY,"10,458.00",alvarezg@nyassembly.gov,Stefano Perez,perezs@nyassembly.gov,,
NYS Assemblymember - Khaleel Anderson,"19-31 Mott Ave. Suite 301, Far Rockaway, NY 11691",19-31,Mott Ave. Suite 301,Far Rockaway,NY,"11,691.00",andersonk@nyassembly.gov,Karl Valere,valerek@nyassembly.gov,,"Banking in Underserved Communities, Food, Farm & Nutrition Policy"
NYS Assemblymember - Claire Valdez,"45-10 Skillman Ave. First Floor, Sunnyside, NY 11104",45-10,Skillman Ave. First Floor,Sunnyside,NY,"11,104.00",valdezc@nyassembly.gov,,,,
NYS Assemblymember - Larinda C. Hooks,"98-09 Northern Blvd, Corona, NY 11368",98-09,Northern Blvd,Corona,NY,"11,368.00",hooksl@nyassembly.gov,,,,
NYS Assemblymember - Mike Benedetto,"177 Dreiser Loop Rm 12, Bronx, NY 10475",177,Dreiser Loop Rm 12,Bronx,NY,"10,475.00",benedettom@nyassembly.gov,John Collazzi,collazzij@nyassembly.gov,,
NYS Assemblymember - Sam berger,"159-06 71st Ave, Flushing, NY 11365",159-06,71st Ave,Flushing,NY,"11,365.00",bergers@nyassembly.gov,,,,
NYS Assemblymember - Alex Bores,"353 Lexington Ave. Suite 704, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10016",353,Lexington Ave. Suite 704,Manhattan,Br,"10,016.00",boresa@nyassembly.gov,Bryan Mcnamara,mcnamarab@nyassembly.gov,,
NYS Assemblymember - Ed Braunstein," 213-33 39th Ave. Suite 238, Bayside, NY 11361",,213-33 39th Ave. Suite 238,Bayside,NY,"11,361.00",braunsteine@nyassembly.gov,Suzanne Monteeverdi,monteverdis@nyassembly.gov,,"Corporations, Authorities and Commissions"
NYS Assemblymember - Emerita Torres,"1163 Manor Ave. Store Front 1, Bronx, NY 10472",,Manor Ave. Store Front 1,Bronx,NY,"10,472.00",torrese@nyassembly.gov,,,,
NYS Assemblymember - Robert (Bobby) Carroll,"416 Seventh Ave, Brooklyn, NY 11215",,Seventh Ave,Brooklyn,NY,"11,215.00",CarrollR@nyassembly.gov,Dan Campanelli,campanellid@nyassembly.gov,,"Libraries and Education Technology, Museums & Cultural Institutions"
NYS Assemblymember - Monique Chandler-Waterman,"903 Utica Ave, Brooklyn, NY 11203",,Utica Ave,Brooklyn,NY,"11,203.00",chandlerwatermanm@nyassembly.gov,Chinua Duke,dukec@nyassembly.gov,,
NYS Assemblymember - William (Bill) Colton,"155 Kings Highway, Brooklyn, NY 11223",,Kings Highway,Brooklyn,NY,"11,223.00",ColtonW@nyassembly.gov,Sarawat Sarah,sarahs@nyassembly.gov,,
NYS Assemblymember - Vivian Cook,"142-15 Rockaway Blvd, Jamaica, NY 11436",,Rockaway Blvd,Jamaica,NY,"11,436.00",CookV@nyassembly.gov,Joyce Corker,corkerj@nyassembly.gov,,
NYS Assemblymember - Catalina Cruz,"41-40 Junction Blvd, Corona, NY 11368",,Junction Blvd,Corona,NY,"11,368.00",cruzc@nyassembly.gov,Robyn Enes,enesr@nyassembly.gov,,
NYS Assemblymember - Brian Cunningham,"249 Empire Blvd, Brooklyn, NY 11225",,Empire Blvd,Brooklyn,NY,"11,225.00",cunninghamba@nyassembly.gov,Sydney Renwick,Renwicks@nyassembly.gov,,
NYS Assemblymember - Maritza Davila,"673 Hart St. Unit C2, Brooklyn, NY 11221",,Hart St. Unit C2,Brooklyn,NY,"11,221.00",DavilaM@nyassembly.gov,Joseph Yanis,yanisj@nyassembly.gov,,Social Services
NYS Assemblymember - Manny De Los Santos,"210 Sherman Ave. Ste A&C, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10034",,Sherman Ave. Ste A&C,Manhattan,Br,"10,034.00",delossm@nyassembly.gov,Sandra Salazar,Salazars@nyassembly.gov,,
NYS Assemblymember - Jordan J.G. Wright,"163 West 125th St. Suite 911, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10027",,West 125th St. Suite 911,Manhattan,Br,"10,027.00",wrightjj@nyassembly.gov,,,,
NYS Assemblymember - Erik Dilan,"366 Cornelia St, Brooklyn, NY 11237",,Cornelia St,Brooklyn,NY,"11,237.00",DilanE@nyassembly.gov,Videsh Persaud,persaudv@nyassembly.gov,,Correction
NYS Assemblymember - Jeffrey Dinowitz,"3107 Kingsbridge Ave, Bronx, NY 10463",,Kingsbridge Ave,Bronx,NY,"10,463.00",DinowitzJ@nyassembly.gov,Randi Martos,martosr@nyassembly.gov,,Codes
NYS Assemblymember - Simcha Eichenstein,"1310 48th St. Unit 204, Brooklyn, NY 11219",,48th St. Unit 204,Brooklyn,NY,"11,219.00",EichensteinS@nyassembly.gov,Dov Cohen,cohend1@nyassembly.gov,,Outreach and Oversight of Senior Citizen Programs
NYS Assemblymember - Harvey Epstein,"107 & 109 Avenue B, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10009",,& 109 Avenue B,Manhattan,Br,"10,009.00",epsteinh@nyassembly.gov,Jackson Fischer-Ward,fischerwardj@nyassembly.gov,,"Retention of Homeownership and Stabilization of Affordable Housing, State-Local Relations"
NYS Assemblymember - Charles Fall,"853 Forest Ave, Staten Island, NY 10310",,Forest Ave,Staten Island,NY,"10,310.00",fallc@nyassembly.gov,Rebecca Del Vecchio,delvecchior@nyassembly.gov,,Consumer Fraud Protection
NYS Assemblymember - Phara Souffrant Forrest,"55 Hanson Place, Brooklyn, NY 11217",,Hanson Place,Brooklyn,NY,"11,217.00",souffrantforrestp@nyassembly.gov,Karen Narefsky,narefskyk@nyassembly.gov,,"Intergenerational Care, New Americans"
NYS Assemblymember - Emily Gallagher,"685A Manhattan Ave, Brooklyn, NY 11222",,Manhattan Ave,Brooklyn,NY,"11,222.00",gallaghere@nyassembly.gov,Andrew Epstein,epsteina@nyassembly.gov,,"Child Product Safety, Solid Waste Management"
NYS Assemblymember - Edward (Eddie) Gibbs,"55 East 115th St. Ground Level, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10029",,East 115th St. Ground Level,Manhattan,Br,"10,029.00",gibbse@nyassembly.gov,,,,Government Administration
NYS Assemblymember - Deborah Glick,"853 Broadway Suite 2007, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10003",,Broadway Suite 2007,Manhattan,Br,"10,003.00",GlickD@nyassembly.gov,Tracy Jackson,jacksont@nyassembly.gov,,Environmental Conservation
NYS Assemblymember - Jessica Gonzalez-Rojas,"75-35 31st Ave. Suite 206B (2nd Floor), East Elmhurts, NY 11370",,31st Ave. Suite 206B (2nd Floor),East Elmhurts,NY,"11,370.00",gonzalezrojasj@nyassembly.gov,Melina Grisal,grisalm@nyassembly.gov,,"Human Trafficking, Women's Issues"
NYS Assemblymember - Andrew Hevesi,"70-50 Austin St.. Suite 114, Forest Hills, NY 11375",,Austin St.. Suite 114,Forest Hills,NY,"11,375.00",HevesiA@nyassembly.gov,Alexa Arecchi,arecchia@nyassembly.gov,,Children and Families
NYS Assemblymember - Alicia Hyndman,"232-06A Maverick Blvd, Springfield Gardens, NY 11413",,Maverick Blvd,Springfield Gardens,NY,"11,413.00",hyndmana@nyassembly.gov,Maylene Thurtun,thurtonm@nyassembly.gov,,Higher Education
NYS Assemblymember - Chantel Jackson,"780 Concourse Village West Ground Floor Profession, Bronx, NY 10451",,Concourse Village West Ground Floor Profession,Bronx,NY,"10,451.00",Jacksonc@nyassembly.gov,Sabriena Campbell-Hunter,campbellhunters@nyassembly.gov,,"Micro Business, Black Task Force"
NYS Assemblymember - Landon Dais,"910 Grand Concourse Suite 1JK, Bronx, NY 10451",,Grand Concourse Suite 1JK,Bronx,NY,"10,451.00",daisl@nyassembly.gov,,,,
NYS Assemblymember - Ron Kim,"136-20 38th Ave. Suite 10A, Flushing, NY 11354",,38th Ave. Suite 10A,Flushing,NY,"11,354.00",KimR@nyassembly.gov,Tony Cao,caot@nyassembly.gov,,"Tourism, Parks, Arts and Sports Development"
NYS Assemblymember - Grace Lee,"64 Fulton St. Room 302, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10038",,Fulton St. Room 302,Manhattan,Br,"10,038.00",leeg@nyassembly.gov,Samantha Day,sday@nysa65.com,,
NYS Assemblymember - Nikki Lucas,"425 New Lots Ave. 1st Floor, Brooklyn, NY 11207",,New Lots Ave. 1st Floor,Brooklyn,NY,"11,207.00",lucasn@nyassembly.gov,,,,
NYS Assemblymember - Zohran Mamdani,"24-08 32nd St. Suite 1002A, Astoria, NY 11102",,32nd St. Suite 1002A,Astoria,NY,"11,102.00",mamdaniz@nyassembly.gov,Elle Bisgaard-Church,bisgaardchurche@nyassembly.gov,,
NYS Assemblymember - Marcela Mitaynes,"4907 4th Ave. Suite 1A, Brooklyn, NY 11220",,4th Ave. Suite 1A,Brooklyn,NY,"11,220.00",mitaynesm@nyassembly.gov,Emmitt Mendoza-Gaspar,mendoze@nyassembly.gov,,Regulated Mortgage Lenders
NYS Assemblymember - Micah Lasher,"245 West 104th St, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10025",,West 104th St,Manhattan,Br,"10,025.00",lasherm@nyassembly.gov,,,,
NYS Assemblymember - Stacey Pheffer Amato,"159-53 102nd St, Howard Beach, NY 11414",,102nd St,Howard Beach,NY,"11,414.00",amatos@nyassembly.gov,Gregory Slade,sladeg@nyassembly.gov,,Governmental Employees
NYS Assemblymember - Steven Raga,"55-19 69th St, Maspeth, NY 11378",,69th St,Maspeth,NY,"11,378.00",ragas@nyassembly.gov,Victoria Leahy,leahyv@nyassembly.gov,,
NYS Assemblymember - Jenifer Rajkumar,"83-91 Woodhaven Blvd, Woodhaven, NY 11421",,Woodhaven Blvd,Woodhaven,NY,"11,421.00",rajkumarj@nyassembly.gov,Vjola Isufaj,isufajv@nyassembly.gov,,Diversity in Law
NYS Assemblymember - Karines Reyes,"1973 Westchester Ave, Bronx, NY 10462",,Westchester Ave,Bronx,NY,"10,462.00",reyesk@nyassembly.gov,Justin Westbrook-Lowery,westbrookloweryj@nyassembly.gov,,"Workplace Safety, Puerto Rican/Hispanic"
NYS Assemblymember - Linda Rosenthal,"230 West 72nd St. Suite 2F, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10023",,West 72nd St. Suite 2F,Manhattan,Br,"10,023.00",RosentL@nyassembly.gov,Erica Overton,overtone@nyassembly.gov,,Housing
NYS Assemblymember - Nily Rozic,"159-16 Union Turnpike, Flushing, NY 11366",,Union Turnpike,Flushing,NY,"11,366.00",RozicN@nyassembly.gov,Hudy Rosenberg,hudy@nilyrozic.org,,Consumer Affairs and Protection
NYS Assemblymember - Rebecca Seawright,"1485 York Avenue, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10075",,York Avenue,Manhattan,Br,"10,075.00",SeawrightR@nyassembly.gov,Courtney Ferrissey,ferrisseyc@nyassembly.gov,,Aging
NYS Assemblymember - Amanda Septimo,"384 E 149th St. Suite 202, Bronx, NY 10455",,E 149th St. Suite 202,Bronx,NY,"10,455.00",septimoa@nyassembly.gov,Tara Gitter,gittert@nyassembly.gov,,
NYS Assemblymember - Jo Anne Simon,"341 Smith Street, Brooklyn, NY 11231",,Smith Street,Brooklyn,NY,"11,231.00",simonj@nyassembly.gov,Susannah Pasquantonio,pasquantonios@nyassembly.gov,,Mental Health
NYS Assemblymember - Tony Simone,"214 West 29th St. Suite 1401, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10001",,West 29th St. Suite 1401,Manhattan,Br,"10,001.00",simonet@nyassembly.gov,Matt Tighe,tighem@nyassembly.gov,,
NYS Assemblymember - Yudelka Tapia,"217C Jerome Ave, Bronx, NY 10453",,Jerome Ave,Bronx,NY,"10,453.00",tapiay@nyassembly.gov,Leonardo Coello,coellol@nyassembly.gov,,
NYS Assemblymember - Al Taylor,"2541-55 Adam Clayton Powell Jr. Blvd, Manhattan, Brooklyn, The Bronx, Queens, Staten Island 10039",,Adam Clayton Powell Jr. Blvd,Manhattan,Br,"10,039.00",taylora@nyassembly.gov,Wendy Olivo,olivow@nyassembly.gov,,
NYS Assemblymember - Clyde Vanel,"97-01 Springfield Blvd, Queens Village, NY 11429",,Springfield Blvd,Queens Village,NY,"11,429.00",vanelc@nyassembly.gov,Aaron Ambrose,ambrosea@nyassembly.gov,,"Banks, Internet and New Technology"
NYS Assemblymember - Latrice Walker,"400 Rockaway Ave. 2nd Floor, Brooklyn, NY 11212",,Rockaway Ave. 2nd Floor,Brooklyn,NY,"11,212.00",WalkerL@nyassembly.gov,,,,Election Law
NYS Assemblymember - Kalman Yeger,"3520 Nostrand Ave, Brooklyn, NY 11229",,Nostrand Ave,Brooklyn,NY,"11,229.00",AskKalman@nyassembly.gov,,,,
NYS Assemblymember - David Weprin,"185-06 Union Turnpike, Fresh Meadows, NY 11366",,Union Turnpike,Fresh Meadows,NY,"11,366.00",WeprinD@nyassembly.gov,David Sperry,sperryd@nyassembly.gov,,
NYS Assemblymember - Jaime Williams,"5318 Avenue N. 1st Floor Store, Brooklyn, NY 11234",,Avenue N. 1st Floor Store,Brooklyn,NY,"11,234.00",williamsja@nyassembly.gov,,,,
NYS Assemblymember - John Zaccaro,"2018 Williamsbridge Rd, Bronx, NY 10461",,Williamsbridge Rd,Bronx,NY,"10,461.00",zaccaroj@nyassembly.gov,Ornela Beshiri,beshirio@nyassembly.gov,,
NYS Assemblymember - Stefani Zinerman,"1368 Fulton St. 3rd Floor NW, Brooklyn, NY 11216",,Fulton St. 3rd Floor NW,Brooklyn,NY,"11,216.00",zinermans@nyassembly.gov,,,,Emerging Workforce
NYS Senate Majority Leader - Andrea Stewart Cousins,"28 Wells Avenue Building #3 5th Floor, Yonkers, NY 10701",,,Yonkers,NY,"10,701.00",scousins@nysenate.gov,Shantelle Smith,smiths@nysenate.gov,,
